"Supplied Name","guid","scientificName","family","kingdom","vernacular name","family","TSC Status","TSC Status Description","taxonRemarks","Reason","category","generalisation"
"Microtis angusii D.L. Jones","https://id.biodiversity.org.au/node/apni/2909333","Microtis angusii","Orchidaceae",,"Angus's Onion Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Drynaria rigidula (Sw.) Beddome ","https://id.biodiversity.org.au/node/apni/2904164","Drynaria rigidula","Polypodiaceae",,"Basket Fern","Polypodiaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Zieria formosa J.D.Briggs & J.A.Armstr.","https://id.biodiversity.org.au/node/apni/2911487","Zieria formosa","Rutaceae",,"Shapely Zieria","Rutaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Ninox strenua","urn:lsid:biodiversity.org.au:afd.taxon:c303a58c-ffb9-4bf6-a71b-5e22299c5ee2","Ninox (Rhabdoglaux) strenua","Strigidae",,,"Strigidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Pterostylis bicornis D.L.Jones & M.A.Clem.","https://id.biodiversity.org.au/taxon/apni/51316867","Pterostylis bicornis","Orchidaceae",,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Nurus brevis","urn:lsid:biodiversity.org.au:afd.taxon:0d3d070c-220f-4611-92ab-9d3c06851145","Nurus brevis","Carabidae",,"Shorter Rainforest Ground-beetle","Carabidae","E1","Endangered",,"Risk of collection and disturbance","3","1km"
"Angophora exul K.D. Hill ","https://id.biodiversity.org.au/node/apni/2913071","Angophora bakeri subsp. bakeri","Myrtaceae",,"Gibraltar Rock Apple","Myrtaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Corunastylis sp. Charmhaven (NSW896673)","ALA_Corunastylis_sp_Charmhaven_NSW896673","Corunastylis sp. Charmhaven (NSW896673)",,,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Nurus atlas","urn:lsid:biodiversity.org.au:afd.taxon:62fbc3a0-a018-4c99-a2e6-2c5b57522dfa","Nurus atlas","Carabidae",,"Atlas Rainforest Ground-beetle","Carabidae","E1","Endangered",,"Risk of collection and disturbance","3","1km"
"Genoplesium vernale D.L.Jones ","https://id.biodiversity.org.au/node/apni/2911430","Genoplesium vernale","Orchidaceae",,"East Lynne Midge Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Pultenaea sp. Olinda (R.G. Coveny 6616) ","ALA_Pultenaea_sp_Olinda_R_G_Coveny_6616","Pultenaea sp. Olinda (R.G. Coveny 6616)",,,,"Fabaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Genoplesium baueri R. Br.","https://id.biodiversity.org.au/name/apni/66142","Genoplesium baueri","Orchidaceae",,"Bauer's Midge Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Acacia dangarensis Tindale & Kodela","https://id.biodiversity.org.au/node/apni/2915433","Acacia dangarensis","Fabaceae",,,"Fabaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Pterostylis pulchella Messmer ","https://id.biodiversity.org.au/node/apni/2920806","Pterostylis pulchella","Orchidaceae",,"Waterfall Greenhood","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Phaius australis F. Muell.","https://id.biodiversity.org.au/node/apni/2910902","Phaius australis","Orchidaceae",,"Southern Swamp Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Hoplocephalus bungaroides","urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794","Hoplocephalus bungaroides","Elapidae",,,"Elapidae","E1","Endangered",,"Risk of collection","2","10km"
"Platyzoma microphyllum R. Br. ","https://id.biodiversity.org.au/node/apni/2916514","Platyzoma microphyllum","Pteridaceae",,"Braid Fern","Platyzomataceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Diuris flavescens D.L. Jones ","https://id.biodiversity.org.au/name/apni/117438","Diuris flavescens","Orchidaceae",,"Pale Yellow Doubletail","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Prostanthera marifolia R. Br.","https://id.biodiversity.org.au/node/apni/2897722","Prostanthera marifolia","Lamiaceae",,"Seaforth Mintbush","Lamiaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Trachymene scapigera (Domin) B.L.Burtt ","https://id.biodiversity.org.au/node/apni/2903508","Trachymene scapigera","Araliaceae",,"Mountain Trachymene","Apiaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Calochilus pulchellus D.L.Jones","https://id.biodiversity.org.au/name/apni/205215","Calochilus pulchellus","Orchidaceae",,"Pretty Beard Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Arthropteris palisotii (Desv.) Alston ","https://id.biodiversity.org.au/node/apni/8496980","Arthropteris palisotii","Tectariaceae",,"Lesser Creeping Fern","Davalliaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Leionema lamprophyllum subsp. obovatum F.M. Anderson","https://id.biodiversity.org.au/node/apni/2906924","Leionema lamprophyllum subsp. obovatum","Rutaceae",,"Shiny Phebalium","Rutaceae","E2","Endangered Population",,"Risk of illegal collection","2","10km"
"Lophochroa leadbeateri","urn:lsid:biodiversity.org.au:afd.taxon:0217f06f-664c-4c64-bc59-1b54650fa23d","Lophochroa leadbeateri","Cacatuidae",,,"Cacatuidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","2","10km"
"Elaeocarpus sedentarius Maynard & Crayn","https://id.biodiversity.org.au/node/apni/2916168","Elaeocarpus sedentarius","Elaeocarpaceae",,"Minyon Quandong","Elaeocarpaceae","E1","Endangered","Previously Elaeocarpus sp. Rocky Creek (G. Read AQ 562114)","Risk of disturbance","3","1km"
"Acacia atrox Kodela ms ","https://id.biodiversity.org.au/node/apni/2894816","Acacia atrox","Fabaceae",,"Myall Creek Wattle","Fabaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Sarcochilus dilatatus F. Muell. ","https://id.biodiversity.org.au/name/apni/62881","Sarcochilus dilatatus","Orchidaceae",,"Brown Butterfly Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Pterostylis ventricosa (D.L. Jones) G.N. Backh.","https://id.biodiversity.org.au/name/apni/226106","Pterostylis ventricosa","Orchidaceae",,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Tyto longimembris","urn:lsid:biodiversity.org.au:afd.taxon:12d6e000-f7c5-457b-b8dd-9e0d57c2aa25","Tyto (Tyto) longimembris","Tytonidae",,,"Tytonidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Gingidia montana (Forster & Forster f.) J. Wyndham Dawson","https://id.biodiversity.org.au/node/apni/6904884","Gingidia rupicola","Apiaceae",,"Mountain Angelica","Apiaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Pterostylis nigricans L. Jones & M.A. Clem.","https://id.biodiversity.org.au/name/apni/75047","Pterostylis nigricans","Orchidaceae",,"Dark Greenhood","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Pterostylis sp. Botany Bay (A. Bishop J221/1 13) ","https://id.biodiversity.org.au/node/apni/2900698","Pterostylis sp. Botany Bay (A.Bishop J221/1-13)","Orchidaceae",,"Botany Bay Bearded Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Grevillea divaricata R. Br. ","https://id.biodiversity.org.au/node/apni/2919387","Grevillea divaricata","Proteaceae",,,"Proteaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Indigofera efoliata F. Muell. ","https://id.biodiversity.org.au/node/apni/2899952","Indigofera efoliata","Fabaceae",,"Leafless Indigo","Fabaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Allocasuarina portuensis L. Johnson","https://id.biodiversity.org.au/node/apni/2891101","Allocasuarina portuensis","Casuarinaceae",,"Nielsen Park She-oak","Casuarinaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Eucalyptus pachycalyx subsp. banyabba K.D. Hill ","https://id.biodiversity.org.au/node/apni/6810160","Eucalyptus pachycalyx subsp. banyabba","Myrtaceae",,"Banyabba Shiny-barked Gum","Myrtaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Caladenia tessellata Fitzg. ","https://id.biodiversity.org.au/node/apni/2900910","Caladenia tessellata","Orchidaceae",,"Thick Lip Spider Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Genoplesium rhyoliticum D.L. Jones & M.A. Clem.","https://id.biodiversity.org.au/node/apni/2904516","Genoplesium rhyoliticum","Orchidaceae",,"Rhyolite Midge Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Pandion cristatus","urn:lsid:biodiversity.org.au:afd.taxon:21464fca-984c-4103-ab72-5f6e9e7d5a2b","Pandion cristatus","Accipitridae",,,"Accipitridae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Baeckea kandos A.R.Bean ","https://id.biodiversity.org.au/node/apni/2886411","Baeckea kandos","Myrtaceae",,,"Myrtaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Falco hypoleucos","urn:lsid:biodiversity.org.au:afd.taxon:5c4c5947-83a6-4a42-b861-8c408cfed4e7","Falco (Hierofalco) hypoleucos","Falconidae",,,"Falconidae","E1","Endangered",,"Risk of egg collection and nest disturbance","2","10km"
"Pterostylis elegans D.L. Jones","https://id.biodiversity.org.au/name/apni/147257","Pterostylis elegans","Orchidaceae",,"Elegant Greenhood","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Genoplesium insigne D.L. Jones","https://id.biodiversity.org.au/name/apni/167942","Genoplesium insigne","Orchidaceae",,,"Orchidaceae","E4A","Critically Endangered","Previously Genoplesium insignis D.L. Jones","Risk of disturbance and collection","2","10km"
"Lysimachia vulgaris var. davurica (Ledeb.) Knuth ","https://id.biodiversity.org.au/node/apni/2901512","Lysimachia vulgaris var. davurica","Primulaceae",,"Yellow Loosestrife","Primulaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Peristeranthus hillii (F. Muell.) T.E. Hunt. ","https://id.biodiversity.org.au/name/apni/92597","Peristeranthus hillii","Orchidaceae",,"Brown Fairy-chain Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Thelymitra kangaloonica Jeanes D.L. Jones 18108","ALA_Thelymitra_kangaloonica_Jeanes_D_L_Jones_18108","Thelymitra kangaloonica Jeanes D.L. Jones 18108",,,"Kangaloon Sun Orchid","Orchidaceae","E4A","Critically Endangered","Previously Thelymitra sp Kangaloon (D.L. Jones 18108)","Risk of illegal collection","2","10km"
"Amytornis textilis modestus","ALA_Amytornis_textilis_modestus","Amytornis textilis modestus",,,"Thick-billed Grasswren (eastern subspecies)","Maluridae","E4A","Critically Endangered",,"Risk of egg collection","2","10km"
"Boronia boliviensis ms ","ALA_Boronia_boliviensis_ms","Boronia boliviensis ms",,,"Bolivia Hill Boronia","Rutaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Gentiana wingecarribiensis L. Adams ","https://id.biodiversity.org.au/node/apni/2915610","Gentiana wingecarribiensis","Gentianaceae",,"Wingecarribee Gentian","Gentianaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Prasophyllum innubum D.L.Jones","https://id.biodiversity.org.au/name/apni/204873","Prasophyllum innubum","Orchidaceae",,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Hibbertia sp. Turramurra (A.Robinson s.n. NSW981514)","ALA_Hibbertia_sp_Turramurra_A_Robinson_s_n_NSW981514","Hibbertia sp. Turramurra (A.Robinson s.n. NSW981514)",,,,"Dilleniaceae","EA4",,,"Risk of disturbance and collection","2","10km"
"Sarcochilus weinthalii (F.M. Bailey) Dockrill","https://id.biodiversity.org.au/node/apni/2890229","Sarcochilus weinthalii","Orchidaceae",,,"Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Euphrasia scabra R. Br. ","https://id.biodiversity.org.au/node/apni/2903366","Euphrasia scabra","Scrophulariaceae",,"Rough Eyebright","Scrophulariaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Banksia vincentia Stimpson & P.H.Weston","https://id.biodiversity.org.au/node/apni/4546357","Banksia vincentia","Proteaceae",,,"Proteaceae","E4A","Critically Endangered",,"Low numbers, risk of disturbance and collection","2","10km"
"Cyclopsitta diophthalma coxeni","urn:lsid:biodiversity.org.au:afd.taxon:af726a03-020b-41f8-941b-b15a5141ec52","Cyclopsitta diophthalma coxeni","Psittacidae",,"Double-eyed Fig-parrot [Coxen’s Fig-parrot]","Psittacidae","E4A","Critically Endangered",,"Risk of egg collection and nest disturbance","2","10km"
"Neophema pulchella","urn:lsid:biodiversity.org.au:afd.taxon:18a3adb5-3ffd-4396-a0f5-0f6b3edd75cf","Neophema (Neophema) pulchella","Psittacidae",,,"Psittacidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Cheilanthes sieberi subsp. pseudovellea H. Quirk & T.C. Chambers ","https://id.biodiversity.org.au/node/apni/2907348","Cheilanthes sieberi subsp. pseudovellea","Pteridaceae",,,"Sinopteridaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Philoria kundagungan","urn:lsid:biodiversity.org.au:afd.taxon:fcb2e700-8046-4556-94bd-78d188dadd9c","Philoria kundagungan","Limnodynastidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Prasophyllum keltonii D.L.Jones","https://id.biodiversity.org.au/name/apni/204872","Prasophyllum keltonii","Orchidaceae",,"Kelton's Leek Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Cymbidium canaliculatum  R.Br.","https://id.biodiversity.org.au/name/apni/93196","Cymbidium canaliculatum","Orchidaceae",,"Tiger Orchid","Orchidaceae","E2","Endangered Population",,"Risk of disturbance and collection","2","10km"
"Bulbophyllum globuliforme Nicholls ","https://id.biodiversity.org.au/node/apni/2891560","Bulbophyllum globuliforme","Orchidaceae",,"Hoop Pine Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Mixophyes balbus","urn:lsid:biodiversity.org.au:afd.taxon:7e478d81-8ec8-49ae-a51f-b838bbe05c77","Mixophyes balbus","Myobatrachidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Fontainea oraria Jessup & Guymer","https://id.biodiversity.org.au/node/apni/2917992","Fontainea oraria","Euphorbiaceae",,"Coastal Fontainea","Euphorbiaceae","E4A","Critically Endangered",,"Low numbers","2","10km"
"Callistemon linearifolius (Link) DC ","https://id.biodiversity.org.au/node/apni/2897309","Callistemon linearifolius","Myrtaceae",,"Netted Bottle Brush","Myrtaceae","V","Vulnerable",,"Risk of disturbance","3","1km"
"Calyptorhynchus banksii banksii","urn:lsid:biodiversity.org.au:afd.taxon:7fa935d6-9efb-4aa8-bdca-8f127316d48e","Calyptorhynchus (Calyptorhynchus) banksii banksii","Cacatuidae",,"Red-tailed Black-Cockatoo (coastal subspecies)","Cacatuidae","E4A","Critically Endangered",,"Risk of egg collection and nest disturbance","2","10km"
"Prasophyllum fuscum R. Br. ","https://id.biodiversity.org.au/node/apni/2915139","Prasophyllum fuscum","Orchidaceae",,"Slaty Leek Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Prasophyllum sp. Moama (D.L. Jones 19276)","ALA_Prasophyllum_sp_Moama_D_L_Jones_19276","Prasophyllum sp. Moama (D.L. Jones 19276)",,,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Prasophyllum pallens D.L.Jones","https://id.biodiversity.org.au/name/apni/163821","Prasophyllum pallens","Orchidaceae",,"Musty Leek Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Eucalyptus copulans L. Johnson & K. Hill ","https://id.biodiversity.org.au/node/apni/2891931","Eucalyptus copulans","Myrtaceae",,,"Myrtaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Pilularia novae-hollandiae A. Braun ","https://id.biodiversity.org.au/node/apni/2905369","Pilularia novae-hollandiae","Marsileaceae",,"Austral Pillwort","Marsileaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Corybas dowlingii D.L.Jones","https://id.biodiversity.org.au/name/apni/189612","Corybas dowlingii","Orchidaceae",,"Red Helmet Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Persoonia hirsuta Pers.","https://id.biodiversity.org.au/node/apni/2902498","Persoonia hirsuta","Proteaceae",,"Hairy Geebung","Proteaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Sarcochilus hartmannii F. Muell. ","https://id.biodiversity.org.au/node/apni/2898379","Sarcochilus hartmannii","Orchidaceae",,"Hartman's Sarcochilus","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Pseudophryne pengilleyi","urn:lsid:biodiversity.org.au:afd.taxon:cc5315bf-6682-44d9-809c-139afaddf7c8","Pseudophryne pengilleyi","Myobatrachidae",,,"Myobatrachidae","E4A","Critically Endangered",,"Risk of collection and disease","2","10km"
"Lophoictinia isura","urn:lsid:biodiversity.org.au:afd.taxon:f6edc452-91de-4ab0-9cf6-49ca23b82995","Lophoictinia isura","Accipitridae",,,"Accipitridae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Wollemia nobilis W. Jones, K. Hill & J. Allen","https://id.biodiversity.org.au/node/apni/2899238","Wollemia nobilis","Araucariaceae",,"Wollemi Pine","Araucariaceae","E1","Endangered",,"High biological significance; susceptible to exploitation and disease","1","WITHHOLD"
"Diuris ochroma D.L. Jones","https://id.biodiversity.org.au/node/apni/2914029","Diuris ochroma","Orchidaceae",,"Pale Golden Moths","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Micromyrtus grandis J.T. Hunter ","https://id.biodiversity.org.au/node/apni/2898424","Micromyrtus grandis","Myrtaceae",,"Severn River Heath-myrtle","Myrtaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Hamirostra melanosternon","urn:lsid:biodiversity.org.au:afd.taxon:c89b8b74-f2bb-4a39-a6a9-e6573d36d557","Hamirostra melanosternon","Accipitridae",,,"Accipitridae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Pseudophryne corroboree","urn:lsid:biodiversity.org.au:afd.taxon:1a3bc394-a748-4755-a6b8-98dd42da48db","Pseudophryne corroboree","Myobatrachidae",,,"Myobatrachidae","E4A","Critically Endangered",,"Risk of collection and disease","2","10km"
"Calyptorhynchus banksii samueli","urn:lsid:biodiversity.org.au:afd.taxon:a6f12637-cbaf-47a2-9321-f71a0f9e59d3","Calyptorhynchus (Calyptorhynchus) banksii samueli","Cacatuidae",,"Red-tailed Black-Cockatoo (inland subspecies)","Cacatuidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","2","10km"
"Diuris praecox D.L. Jones ","https://id.biodiversity.org.au/node/apni/2898996","Diuris praecox","Orchidaceae",,"Rough Doubletail","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Pimelea axiflora subsp. pubescens Rye","https://id.biodiversity.org.au/node/apni/8328266","Pimelea axiflora subsp. pubescens","Thymelaeaceae",,"Bungonia Rice-flower","Thymelaeaceae","E1","Endangered",,"Possibility of the introduction of pathogens to the site if the precise locality is publicly available","2","10km"
"Diuris pedunculata R. Br. ","https://id.biodiversity.org.au/node/apni/2909560","Diuris pedunculata","Orchidaceae",,"Small Snake Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Pomaderris walshii J.C. Millott & K.L. McDougall","https://id.biodiversity.org.au/node/apni/2909534","Pomaderris walshii","Rhamnaceae",,"Carrington Falls Pomaderris","Rhamnaceae","E4A","Critically Endangered",,"Possibility of the introduction of pathogens to the site if the precise locality is publicly available","2","10km"
"Pterostylis gibbosa R. Br. ","https://id.biodiversity.org.au/node/apni/2919856","Pterostylis gibbosa","Orchidaceae",,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Glossopsitta porphyrocephala","urn:lsid:biodiversity.org.au:afd.taxon:fb2711ca-71a0-478b-b6f3-2b4ded21bdec","Parvipsitta porphyrocephala","Psittacidae",,,"Psittacidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Chiloglottis anaticeps D.L. Jones","https://id.biodiversity.org.au/name/apni/117388","Chiloglottis anaticeps","Orchidaceae",,"Bird Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Viola cleistogamoides (L. Adams) Seppelt ","https://id.biodiversity.org.au/node/apni/2892487","Viola cleistogamoides","Violaceae",,"Hidden Violet","Violaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Jalmenus eubulus","urn:lsid:biodiversity.org.au:afd.taxon:2da9c823-15f0-43de-8ebc-0f20dacbfa61","Jalmenus eubulus","Lycaenidae",,"Pale Imperial Hairstreak","Lycaenidae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Diuris venosa Rupp","https://id.biodiversity.org.au/node/apni/2896413","Diuris venosa","Orchidaceae",,"Veined Doubletail","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Hakea archaeoides W. R. Barker ","https://id.biodiversity.org.au/node/apni/2920623","Hakea archaeoides","Proteaceae",,"Big Nellie Hakea","Proteaceae","V","Vulnerable",,"Risk of disturbance","3","1km"
"Pultenaea elusa (J.D. Briggs & Crisp) R.P.J. de Kok","https://id.biodiversity.org.au/node/apni/2921308","Pultenaea elusa","Fabaceae",,"Elusive Bush-pea","Fabaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Myuchelys georgesi","urn:lsid:biodiversity.org.au:afd.taxon:4f95257b-a79e-452a-bc1e-9f512d8fd878","Wollumbinia georgesi","Chelidae",,"Bellinger River Snapping Turtle","Chelidae","E4A","Critically Endangered",,"Risk of collection and spread of disease","2","10km"
"Prostanthera gilesii","https://id.biodiversity.org.au/taxon/apni/51288027","Prostanthera gilesii","Lamiaceae",,,,,,,"Risk of illegal collection","2","10km"
"Dasyornis brachypterus","urn:lsid:biodiversity.org.au:afd.taxon:67723115-0e97-42fb-86f5-0f3ce82a0d74","Dasyornis (Dasyornis) brachypterus","Dasyornithidae",,,,"E1","Endangered",,"Risk of egg collection and nest disturbance","2","10km"
"Caladenia montana","https://id.biodiversity.org.au/name/apni/119068","Caladenia montana","Orchidaceae",,,,"V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Pterostylis alpina","https://id.biodiversity.org.au/name/apni/74094","Pterostylis alpina","Orchidaceae",,,,"V","Vulnerable",,"Risk of disturbance and collection","2","10km"
