"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Dipodium campanulatum","https://id.biodiversity.org.au/name/apni/117414","Dipodium campanulatum","Orchidaceae",,"Orchids","P","M05178","Bell-flower Hyacinth-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dianella porracea","https://id.biodiversity.org.au/node/apni/2913090","Dianella porracea","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E04826","Pale Flax-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Ixodia achillaeoides ssp. arenicola","ALA_Ixodia_achillaeoides_ssp_arenicola","Ixodia achillaeoides ssp. arenicola",,,"Garden Trade -Other Ornamental Horticulture plants","P","A03564","Sand Ixodia","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Swainsona procumbens","https://id.biodiversity.org.au/node/apni/2907326","Swainsona procumbens","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","K01801","Broughton Pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia fulva","https://id.biodiversity.org.au/node/apni/2917537","Caladenia fulva","Orchidaceae",,"Orchids","P","C05165","Tawny Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Corybas dentatus","https://id.biodiversity.org.au/node/apni/2897379","Corybas dentatus","Orchidaceae",,"Orchids","P","G06267","Finniss Helmet-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Gentianella gunniana","https://id.biodiversity.org.au/node/apni/2908181","Gentianella gunniana","Gentianaceae",,"Aquatics","P","C02473","Mountain Gentian","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia rigida","https://id.biodiversity.org.au/node/apni/2914821","Caladenia rigida","Orchidaceae",,"Orchids","P","S00781","Stiff White Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Diuris brevifolia","https://id.biodiversity.org.au/name/apni/78835","Diuris brevifolia","Orchidaceae",,"Orchids","P","W03951","Short-leaf Donkey-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Calocephalus lacteus","https://id.biodiversity.org.au/node/apni/2888928","Calocephalus lacteus","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E02994",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Swainsona behriana","https://id.biodiversity.org.au/node/apni/2915191","Swainsona behriana","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Q05320","Behr's Swainson-pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Prasophyllum pallidum","https://id.biodiversity.org.au/node/apni/2898209","Prasophyllum pallidum","Orchidaceae",,"Orchids","P","Z00827","Pale Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Santalum spicatum","https://id.biodiversity.org.au/node/apni/2907960","Santalum spicatum","Santalaceae",,"Santalum","P","C00953","Sandalwood","Grid references, lats and longs, detailed location descriptions","y","Santalum spicatum is listed as Vulnerable under the SA NP&W Act and is at risk of illegal collection. The aromatic oils in the wood is highly valued by illegal traders supplying an export market. Denaturing spatial data will make wild populations more difficult to locate. Santalum lanceolatum is not listed under the EPBC Act or NPW Act, but it also produces aromatic oils and is sometimes confused with S. spicatum.",
"Thysanotus tuberosus ssp. tuberosus","https://id.biodiversity.org.au/node/apni/2889586","Thysanotus tuberosus subsp. tuberosus","Asparagaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Q04716","Tuber Fringe-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Todea barbara","https://id.biodiversity.org.au/node/apni/2916843","Todea barbara","Osmundaceae",,"Ferns & Allies","P","M00030","King Fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Lobelia beaugleholei","https://id.biodiversity.org.au/node/apni/2912125","Lobelia beaugleholei","Campanulaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E02846",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia argocalla","https://id.biodiversity.org.au/node/apni/2898227","Caladenia argocalla","Orchidaceae",,"Orchids","P","U05146","White Beauty Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis xerophila","https://id.biodiversity.org.au/node/apni/2891414","Pterostylis xerophila","Orchidaceae",,"Orchids","P","K04413","Desert Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dicksonia antarctica","https://id.biodiversity.org.au/node/apni/2914933","Dicksonia antarctica","Dicksoniaceae",,"Ferns & Allies","P","U00034","Soft Tree-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thelymitra circumsepta","https://id.biodiversity.org.au/name/apni/97061","Thelymitra circumsepta","Orchidaceae",,"Orchids","P","E04138","Naked Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia intuta","https://id.biodiversity.org.au/node/apni/2893255","Caladenia intuta","Orchidaceae",,"Orchids","P","C06265","Ghost Spider Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Leptorhynchos melanocarpus","https://id.biodiversity.org.au/node/apni/2897444","Leptorhynchos melanocarpus","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","S05701","Lake Acraman Button-daisy","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Corybas expansus","https://id.biodiversity.org.au/name/apni/117405","Corybas expansus","Orchidaceae",,"Orchids","P","S04389","Dune Helmet-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Lastreopsis acuminata","https://id.biodiversity.org.au/taxon/apni/51283673","Lastreopsis acuminata","Dryopteridaceae",,"Ferns & Allies","P","E00046","Shiny Shield-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia conferta","https://id.biodiversity.org.au/taxon/apni/51290491","Caladenia conferta","Orchidaceae",,"Orchids","P","Q05160","Coast Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Lycopodiella serpentina","https://id.biodiversity.org.au/node/apni/2905113","Lycopodiella serpentina","Lycopodiaceae",,"Aquatics","P","K00021","Bog Clubmoss","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis parviflora","https://id.biodiversity.org.au/taxon/apni/51290647","Pterostylis corpulenta","Orchidaceae",,"Orchids","P","W30079","Tiny Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra epipactoides","https://id.biodiversity.org.au/node/apni/2909701","Thelymitra epipactoides","Orchidaceae",,"Orchids","P","Q00860","Metallic Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum spicatum","https://id.biodiversity.org.au/node/apni/2914474","Prasophyllum spicatum","Orchidaceae",,"Orchids","P","K05185","Dense Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra latifolia","https://id.biodiversity.org.au/name/apni/230262","Thelymitra latifolia","Orchidaceae",,"Orchids","P","E32210","Blue Star Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis sp. Sandheath (D.Murfet 3190)","https://id.biodiversity.org.au/taxon/apni/51290647","Pterostylis corpulenta","Orchidaceae",,"Orchids","P","E04914","Tiny Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis tenuissima","https://id.biodiversity.org.au/node/apni/2918294","Pterostylis tenuissima","Orchidaceae",,"Orchids","P","M00850","Swamp Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia calcicola","https://id.biodiversity.org.au/node/apni/2918502","Caladenia calcicola","Orchidaceae",,"Orchids","P","S04361","Limestone Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Santalum lanceolatum","https://id.biodiversity.org.au/node/apni/2908232","Santalum lanceolatum","Santalaceae",,"Santalum","P","W00951","Plumbush","Grid references, lats and longs, detailed location descriptions","y","Santalum spicatum is listed as Vulnerable under the SA NP&W Act and is at risk of illegal collection. The aromatic oils in the wood is highly valued by illegal traders supplying an export market. Denaturing spatial data will make wild populations more difficult to locate. Santalum lanceolatum is not listed under the EPBC Act or NPW Act, but it also produces aromatic oils and is sometimes confused with S. spicatum.",
"Caladenia woolcockiorum","https://id.biodiversity.org.au/node/apni/2887000","Caladenia woolcockiorum","Orchidaceae",,"Orchids","P","W05163","Woolcock's Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis arenicola","https://id.biodiversity.org.au/node/apni/2910874","Pterostylis arenicola","Orchidaceae",,"Orchids","P","Y04404","Sandhill Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum sp. Waterholes (R.Bates 9037)","ALA_Prasophyllum_sp_Waterholes_R_Bates_9037","Prasophyllum sp. Waterholes (R.Bates 9037)",,,"Orchids","P","Q06288","Pretty Waterholes Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Blechnum chambersii","https://id.biodiversity.org.au/taxon/apni/51269276","Blechnum chambersii","Blechnaceae",,"Ferns & Allies","P","C00053",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Lophoictinia isura","urn:lsid:biodiversity.org.au:afd.taxon:f6edc452-91de-4ab0-9cf6-49ca23b82995","Lophoictinia isura","Accipitridae",,"Raptors","B","E00230",,"All known nests on natural and artificial structures","y","These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).",
"Scaevola hookeri","https://id.biodiversity.org.au/node/apni/2907106","Scaevola hookeri","Goodeniaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Q02004","Creeping Fanflower","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caleana major","https://id.biodiversity.org.au/name/apni/94865","Caleana major","Orchidaceae",,"Orchids","P","A00784","Large Duck-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum pruinosum","https://id.biodiversity.org.au/name/apni/106077","Prasophyllum pruinosum","Orchidaceae",,"Orchids","P","E04746","Plum Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Swainsona murrayana","https://id.biodiversity.org.au/node/apni/2888731","Swainsona murrayana","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Z20191","Murray Swainson-pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Prasophyllum goldsackii","https://id.biodiversity.org.au/node/apni/2904487","Prasophyllum goldsackii","Orchidaceae",,"Orchids","P","G06291","Goldsack's Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra cyanapicata","https://id.biodiversity.org.au/node/apni/2909715","Thelymitra cyanapicata","Orchidaceae",,"Orchids","P","Q06040","Blue Top Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia venusta","https://id.biodiversity.org.au/name/apni/119075","Caladenia venusta","Orchidaceae",,"Orchids","P","C05149","Large White Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra inflata","https://id.biodiversity.org.au/name/apni/189578","Thelymitra inflata","Orchidaceae",,"Orchids","P","C06045","Plum Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Lycopodium deuterodensum","https://id.biodiversity.org.au/node/apni/2894158","Lycopodium deuterodensum","Lycopodiaceae",,"Aquatics","P","W00019","Bushy Clubmoss","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thelymitra crenulata","https://id.biodiversity.org.au/name/apni/230250","Thelymitra crenulata (R.Bates 64389)","Orchidaceae",,"Orchids","P","M06162","Dark Bud Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Genoplesium despectans","https://id.biodiversity.org.au/name/apni/66153","Genoplesium despectans","Orchidaceae",,"Orchids","P","Z00819","Sharp Midge-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Paracaleana minor","https://id.biodiversity.org.au/name/apni/95930","Paracaleana minor","Orchidaceae",,"Orchids","P","Y00816","Small Duck-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Utricularia lateriflora","https://id.biodiversity.org.au/node/apni/2903361","Utricularia lateriflora","Lentibulariaceae",,"Aquatics","P","Q02760","Small Bladderwort","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia sp. Monarto South (H.Goldsack 163 AD97708605A)","ALA_Caladenia_sp_Monarto_South_H_Goldsack_163_AD97708605A","Caladenia sp. Monarto South (H.Goldsack 163 AD97708605A)",,,"Orchids","P","E06266","Monarto Wispy Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Polytelis alexandrae","urn:lsid:biodiversity.org.au:afd.taxon:1ad0bddc-f761-45fb-ba4b-3a69d3e4bce9","Polytelis alexandrae","Psittacidae",,"Parrots","B","Z00279",,"All known nest hollows and artificial nest boxes at known breeding sites.","y","These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).",
"Dipodium pardalinum","https://id.biodiversity.org.au/name/apni/166521","Dipodium pardalinum","Orchidaceae",,"Orchids","P","M05574","Leopard Hyacinth-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Nertera granadensis","https://id.biodiversity.org.au/node/apni/2918971","Nertera granadensis","Rubiaceae",,"Aquatics","P","E03946","Matted Nertera","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Prasophyllum murfetii","https://id.biodiversity.org.au/node/apni/2919977","Prasophyllum murfetii","Orchidaceae",,"Orchids","P","Q06068","Maroon Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Utricularia beaugleholei","https://id.biodiversity.org.au/node/apni/2891028","Utricularia beaugleholei","Lentibulariaceae",,"Aquatics","P","Q05400","Beauglehole's Bladderwort","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Nephrurus deleani ","urn:lsid:biodiversity.org.au:afd.taxon:06125aff-65f8-44f1-bb4a-afa372cb8180","Nephrurus deleani","Carphodactylidae",,,"R","U02102","Pernatty Knob-tailed Gecko","All known location records","y","The Pernatty Knob-tailed Gecko is endemic to SA and listed as Rare under the SA NP&W Act. The species has a restricted and patchy distribution and has been recorded on private land.  The species was identified as one of the top five non-CITES reptiles that are known or likely to be in international trade (UNEP-WCMC, 2009). Data restrictions are consistent with the conservation Objectives of The Action Plan for Australian Reptiles (1993).","y"
"Eriochilus sp. Swamp (D.E.Murfet 1950b)","ALA_Eriochilus_sp_Swamp_D_E_Murfet_1950b","Eriochilus sp. Swamp (D.E.Murfet 1950b)",,,"Orchids","P","S06113","Swamp Bunnies","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Histiopteris incisa","https://id.biodiversity.org.au/node/apni/2903289","Histiopteris incisa","Dennstaedtiaceae",,"Ferns & Allies","P","M00058","Bat's-wing Fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Potamogeton australiensis","https://id.biodiversity.org.au/node/apni/7808489","Potamogeton australiensis","Potamogetonaceae",,"Aquatics","P","M00090",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Lophochroa leadbeateri ","urn:lsid:biodiversity.org.au:afd.taxon:0217f06f-664c-4c64-bc59-1b54650fa23d","Lophochroa leadbeateri","Cacatuidae",,"Cockatoos","B","U00270","Major Mitchell's Cockatoo (listed as Cacatua leadbeateri under SA NPW Act)","All known nest hollows and artificial nest boxes.","y","These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.",
"Pterostylis melagramma","https://id.biodiversity.org.au/name/apni/162018","Pterostylis melagramma","Orchidaceae",,"Orchids","P","W05747","Tall Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia macroclavia","https://id.biodiversity.org.au/node/apni/2892407","Caladenia macroclavia","Orchidaceae",,"Orchids","P","K05169","Large-club Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra peniculata","https://id.biodiversity.org.au/name/apni/188207","Thelymitra peniculata","Orchidaceae",,"Orchids","P","S32209","Blue Star Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Elanus scriptus","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Accipitridae",,"Raptors","B","K00233",,"All known nests on natural and artificial structures","y","These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).",
